timestamp,asset_pair,initial_budget,adjusted_budget,buy_exchange,sell_exchange,network_used,fees,quantities,buy_prices,sell_prices,net_profit,net_profit_percentage
2025-04-09T21:20:20.918032,NEARUSDC,10000.0,1282.7887194000002,OKX,Binance,near,"{'maker_fee_asset': 0.6184776000000001, 'taker_fee_usdt': 1.2900585275712002, 'withdrawal_fee_asset': 0.015}","{'bought_qty': 618.4776, 'after_fees': 617.8591224, 'after_withdrawal': 617.8441224000001}","{'current': 2.073, 'average': 2.074106999833139, 'end': 2.078}","{'current': 2.088, 'average': 2.088, 'end': 2.088}",5.979749643628793,0.46615234084890506
2025-04-09T21:20:20.918161,TONUSDT,10000.0,10000.0,Binance,OKX,ton,"{'maker_fee_asset': 3.118895116931712, 'taker_fee_usdt': 10.033884352743593, 'withdrawal_fee_asset': 0.02}","{'bought_qty': 3118.895116931712, 'after_fees': 3115.7762218147805, 'after_withdrawal': 3115.7562218147805}","{'current': 3.206, 'average': 3.2062636366681483, 'end': 3.207}","{'current': 3.221, 'average': 3.220368873049808, 'end': 3.22}",23.85046839084862,0.2385046839084862
2025-04-09T21:24:11.106138,NEARUSDC,10000.0,1282.7887194000002,OKX,Binance,near,"{'maker_fee_asset': 0.6184776000000001, 'taker_fee_usdt': 1.2868344628368003, 'withdrawal_fee_asset': 0.015}","{'bought_qty': 618.4776, 'after_fees': 617.8591224, 'after_withdrawal': 617.8441224000001}","{'current': 2.073, 'average': 2.074106999833139, 'end': 2.078}","{'current': 2.083, 'average': 2.0827817505783237, 'end': 2.082}",2.7589089739631163,0.21507119077672768
2025-04-09T21:24:11.106215,TONUSDT,10000.0,10000.0,Binance,OKX,ton,"{'maker_fee_asset': 3.1265318412003755, 'taker_fee_usdt': 10.058450014636545, 'withdrawal_fee_asset': 0.02}","{'bought_qty': 3126.5318412003753, 'after_fees': 3123.405309359175, 'after_withdrawal': 3123.385309359175}","{'current': 3.198, 'average': 3.1984321631474835, 'end': 3.199}","{'current': 3.221, 'average': 3.220367972051529, 'end': 3.22}",48.3915646219084,0.483915646219084
2025-04-09T21:27:18.757441,ONEUSDT,10000.0,5201.8709654125205,OKX,Binance,harmony,"{'maker_fee_asset': 491.241078378, 'taker_fee_usdt': 5.222718820494983, 'withdrawal_fee_asset': 0.1}","{'bought_qty': 491241.078378, 'after_fees': 490749.837299622, 'after_withdrawal': 490749.73729962204}","{'current': 0.01056, 'average': 0.010589242623170424, 'end': 0.0106}","{'current': 0.01065, 'average': 0.010642326268442416, 'end': 0.01063}",15.625136261966873,0.3003753143024716
2025-04-09T21:27:18.757886,OMUSDT,10000.0,542.4340627351,OKX,Binance,erc20,"{'maker_fee_asset': 0.083575025, 'taker_fee_usdt': 0.5476339733207675, 'withdrawal_fee_asset': 0.13}","{'bought_qty': 83.575025, 'after_fees': 83.491449975, 'after_withdrawal': 83.361449975}","{'current': 6.4895, 'average': 6.490384690104491, 'end': 6.4908}","{'current': 6.5694, 'average': 6.569391169239526, 'end': 6.5693}",4.652276612346668,0.857666752874741
2025-04-09T21:27:18.757953,SCRUSDT,10000.0,2024.445088,OKX,Binance,scroll,"{'maker_fee_asset': 7.854346, 'taker_fee_usdt': 2.0321118383859997, 'withdrawal_fee_asset': 0.5}","{'bought_qty': 7854.346, 'after_fees': 7846.4916539999995, 'after_withdrawal': 7845.9916539999995}","{'current': 0.2575, 'average': 0.2577483966201642, 'end': 0.2579}","{'current': 0.259, 'average': 0.259, 'end': 0.259}",5.634638547613804,0.2783300263866581
2025-04-09T21:27:18.758430,NEARUSDC,10000.0,1282.7887194000002,OKX,Binance,near,"{'maker_fee_asset': 0.6184776000000001, 'taker_fee_usdt': 1.2882049952040002, 'withdrawal_fee_asset': 0.015}","{'bought_qty': 618.4776, 'after_fees': 617.8591224, 'after_withdrawal': 617.8441224000001}","{'current': 2.073, 'average': 2.074106999833139, 'end': 2.078}","{'current': 2.085, 'average': 2.085, 'end': 2.085}",4.128070808795883,0.3218044208189412
2025-04-09T21:27:18.758513,TONUSDT,10000.0,10000.0,Binance,OKX,ton,"{'maker_fee_asset': 3.119485779787898, 'taker_fee_usdt': 10.035784385206114, 'withdrawal_fee_asset': 0.02}","{'bought_qty': 3119.4857797878976, 'after_fees': 3116.36629400811, 'after_withdrawal': 3116.34629400811}","{'current': 3.205, 'average': 3.205656542752353, 'end': 3.206}","{'current': 3.221, 'average': 3.2203688032046407, 'end': 3.22}",25.748600820908905,0.25748600820908907
2025-04-09T21:27:18.758752,BTCEUR,10000.0,8139.652405000001,Binance,OKX,lightning,"{'maker_fee_asset': 0.00010852, 'taker_fee_usdt': 8.165709476466999, 'withdrawal_fee_asset': 1e-06}","{'bought_qty': 0.10851999999999999, 'after_fees': 0.10841147999999999, 'after_withdrawal': 0.10841047999999999}","{'current': 75001.44, 'average': 75006.01184113529, 'end': 75013.99}","{'current': 75327.5, 'average': 75322.14114785766, 'end': 75318.4}",17.89136199053155,0.2198049879813209
2025-04-09T21:29:21.666584,PENGUUSDT,10000.0,3699.8336880000006,Binance,OKX,solana,"{'maker_fee_asset': 851.062, 'taker_fee_usdt': 3.7237754294400003, 'withdrawal_fee_asset': 191.0}","{'bought_qty': 851062.0, 'after_fees': 850210.938, 'after_withdrawal': 850019.938}","{'current': 0.004344, 'average': 0.00434731393012495, 'end': 0.004348}","{'current': 0.004384, 'average': 0.004380809511599951, 'end': 0.00438}",20.217966010559394,0.5464560765564712
2025-04-09T21:29:21.666905,OMUSDT,10000.0,542.4340627351,OKX,Binance,erc20,"{'maker_fee_asset': 0.083575025, 'taker_fee_usdt': 0.5489957926653649, 'withdrawal_fee_asset': 0.13}","{'bought_qty': 83.575025, 'after_fees': 83.491449975, 'after_withdrawal': 83.361449975}","{'current': 6.4895, 'average': 6.490384690104491, 'end': 6.4908}","{'current': 6.5859, 'average': 6.585727489505138, 'end': 6.5854}",6.012734137599523,1.108472817374647
2025-04-09T21:29:21.667584,TONUSDT,10000.0,10000.0,Binance,OKX,ton,"{'maker_fee_asset': 3.123596133666459, 'taker_fee_usdt': 10.049006489355591, 'withdrawal_fee_asset': 0.02}","{'bought_qty': 3123.5961336664586, 'after_fees': 3120.472537532792, 'after_withdrawal': 3120.452537532792}","{'current': 3.201, 'average': 3.2014382052208714, 'end': 3.202}","{'current': 3.221, 'average': 3.220368317891772, 'end': 3.22}",38.957482866235296,0.389574828662353
2025-04-09T21:29:21.667825,BTCEUR,10000.0,9069.2336813535,Binance,OKX,lightning,"{'maker_fee_asset': 0.00012101395000000001, 'taker_fee_usdt': 9.10579277582332, 'withdrawal_fee_asset': 1e-06}","{'bought_qty': 0.12101395000000001, 'after_fees': 0.12089293605000001, 'after_withdrawal': 0.12089193605000001}","{'current': 74938.77, 'average': 74943.70427007382, 'end': 74945.33}","{'current': 75327.5, 'average': 75321.75489403389, 'end': 75318.4}",27.453301693996764,0.3027080639728274
2025-04-09T21:32:23.367498,SUSDT,10000.0,8602.8918877,OKX,Binance,sonic,"{'maker_fee_asset': 18.303661, 'taker_fee_usdt': 8.661262004950398, 'withdrawal_fee_asset': 0.003}","{'bought_qty': 18303.661, 'after_fees': 18285.357339, 'after_withdrawal': 18285.354338999998}","{'current': 0.4698, 'average': 0.47000935428710133, 'end': 0.4702}","{'current': 0.4737, 'average': 0.4736720899346855, 'end': 0.4736}",49.70885524544792,0.5778156449521265
2025-04-09T21:32:23.369105,TURBOUSDT,10000.0,10000.0,OKX,Binance,erc20,"{'maker_fee_asset': 5929.055121659751, 'taker_fee_usdt': 10.032832904588988, 'withdrawal_fee_asset': 461.42}","{'bought_qty': 5929055.121659751, 'after_fees': 5923126.066538092, 'after_withdrawal': 5922664.646538092}","{'current': 0.001685, 'average': 0.001686609382913048, 'end': 0.001687}","{'current': 0.001695, 'average': 0.0016939728151674713, 'end': 0.001693}",22.800071684398063,0.2280007168439806
2025-04-09T21:32:23.371527,OMUSDT,10000.0,542.4340627351,OKX,Binance,erc20,"{'maker_fee_asset': 0.083575025, 'taker_fee_usdt': 0.54868516373545, 'withdrawal_fee_asset': 0.13}","{'bought_qty': 83.575025, 'after_fees': 83.491449975, 'after_withdrawal': 83.361449975}","{'current': 6.4895, 'average': 6.490384690104491, 'end': 6.4908}","{'current': 6.5821, 'average': 6.582001199595256, 'end': 6.582}",5.7024158366144775,1.0512643339286893
2025-04-09T21:32:23.372096,TONUSDT,10000.0,10000.0,Binance,OKX,ton,"{'maker_fee_asset': 3.1204592574102965, 'taker_fee_usdt': 10.038915848552293, 'withdrawal_fee_asset': 0.02}","{'bought_qty': 3120.4592574102962, 'after_fees': 3117.338798152886, 'after_withdrawal': 3117.318798152886}","{'current': 3.204, 'average': 3.204656486461903, 'end': 3.205}","{'current': 3.221, 'average': 3.2203686881497915, 'end': 3.22}",28.87693270374075,0.2887693270374075
2025-04-09T21:35:34.278811,SUSDT,10000.0,8602.8918877,OKX,Binance,sonic,"{'maker_fee_asset': 18.303661, 'taker_fee_usdt': 8.686281761024999, 'withdrawal_fee_asset': 0.003}","{'bought_qty': 18303.661, 'after_fees': 18285.357339, 'after_withdrawal': 18285.354338999998}","{'current': 0.4698, 'average': 0.47000935428710133, 'end': 0.4702}","{'current': 0.4752, 'average': 0.47504038477933264, 'end': 0.475}",74.70359156397353,0.8683544154586103
2025-04-09T21:35:34.279537,ETHUSDC,10000.0,3477.01252378,OKX,Binance,optimism,"{'maker_fee_asset': 0.002109447, 'taker_fee_usdt': 3.48918687240422, 'withdrawal_fee_asset': 4e-05}","{'bought_qty': 2.109447, 'after_fees': 2.107337553, 'after_withdrawal': 2.107297553}","{'current': 1648.21, 'average': 1648.3052306030918, 'end': 1648.4}","{'current': 1655.81, 'average': 1655.7637375115482, 'end': 1655.74}",8.68516175181594,0.24978804914898473
2025-04-09T21:35:34.280992,ETHEUR,10000.0,1281.7372094200005,OKX,Binance,optimism,"{'maker_fee_asset': 0.0008518000000000002, 'taker_fee_usdt': 1.28751082578, 'withdrawal_fee_asset': 4e-05}","{'bought_qty': 0.8518000000000002, 'after_fees': 0.8509482000000003, 'after_withdrawal': 0.8509082000000002}","{'current': 1504.61, 'average': 1504.7396212960791, 'end': 1504.75}","{'current': 1513.19, 'average': 1513.1019136729435, 'end': 1512.9}",4.486105534219632,0.3500019739810505
2025-04-09T21:35:34.281293,ATOMUSDC,10000.0,3779.5961466999997,OKX,Binance,cosmos,"{'maker_fee_asset': 0.8382399, 'taker_fee_usdt': 3.7923772489328003, 'withdrawal_fee_asset': 0.016}","{'bought_qty': 838.2399, 'after_fees': 837.4016601000001, 'after_withdrawal': 837.3856601000001}","{'current': 4.507, 'average': 4.508967118721024, 'end': 4.511}","{'current': 4.53, 'average': 4.528829940173464, 'end': 4.528}",8.988724983867542,0.23782236606722335
2025-04-09T21:35:34.282279,OMUSDT,10000.0,542.4340627351,OKX,Binance,erc20,"{'maker_fee_asset': 0.083575025, 'taker_fee_usdt': 0.5479939552656651, 'withdrawal_fee_asset': 0.13}","{'bought_qty': 83.575025, 'after_fees': 83.491449975, 'after_withdrawal': 83.361449975}","{'current': 6.4895, 'average': 6.490384690104491, 'end': 6.4908}","{'current': 6.5738, 'average': 6.573709495576286, 'end': 6.5734}",5.011898575299369,0.9239645736899363
2025-04-09T21:35:34.282334,SCRUSDT,10000.0,2024.445088,OKX,Binance,scroll,"{'maker_fee_asset': 7.854346, 'taker_fee_usdt': 2.0321118383859997, 'withdrawal_fee_asset': 0.5}","{'bought_qty': 7854.346, 'after_fees': 7846.4916539999995, 'after_withdrawal': 7845.9916539999995}","{'current': 0.2575, 'average': 0.2577483966201642, 'end': 0.2579}","{'current': 0.259, 'average': 0.259, 'end': 0.259}",5.634638547613804,0.2783300263866581
2025-04-09T21:35:34.282757,NEARUSDC,10000.0,1282.7887194000002,OKX,Binance,near,"{'maker_fee_asset': 0.6184776000000001, 'taker_fee_usdt': 1.2878301510816, 'withdrawal_fee_asset': 0.015}","{'bought_qty': 618.4776, 'after_fees': 617.8591224, 'after_withdrawal': 617.8441224000001}","{'current': 2.073, 'average': 2.074106999833139, 'end': 2.078}","{'current': 2.085, 'average': 2.0843933030859887, 'end': 2.084}",3.7536015305181536,0.2926126082768976
2025-04-09T21:35:34.282806,IMXUSDT,10000.0,2457.1182624276,OKX,Binance,erc20,"{'maker_fee_asset': 5.829507616, 'taker_fee_usdt': 2.468450877954816, 'withdrawal_fee_asset': 1.86}","{'bought_qty': 5829.507616, 'after_fees': 5823.678108384, 'after_withdrawal': 5821.818108384}","{'current': 0.4212, 'average': 0.4214967068031016, 'end': 0.4216}","{'current': 0.424, 'average': 0.424, 'end': 0.424}",8.864164649261511,0.3607544978524491
2025-04-09T21:35:34.282832,TONUSDT,10000.0,10000.0,Binance,OKX,ton,"{'maker_fee_asset': 3.11807805798005, 'taker_fee_usdt': 10.031256053849065, 'withdrawal_fee_asset': 0.02}","{'bought_qty': 3118.0780579800503, 'after_fees': 3114.95997992207, 'after_withdrawal': 3114.93997992207}","{'current': 3.207, 'average': 3.207103803705988, 'end': 3.208}","{'current': 3.221, 'average': 3.22036896970966, 'end': 3.22}",21.224797795215636,0.21224797795215636
2025-04-09T21:35:34.283348,CITYUSDT,10000.0,732.7439930999999,OKX,Binance,chiliz chain,"{'maker_fee_asset': 0.7030361999999999, 'taker_fee_usdt': 0.7399997214813998, 'withdrawal_fee_asset': 0.1}","{'bought_qty': 703.0361999999999, 'after_fees': 702.3331637999999, 'after_withdrawal': 702.2331637999998}","{'current': 1.041, 'average': 1.0422564202241649, 'end': 1.046}","{'current': 1.055, 'average': 1.0537806523933353, 'end': 1.053}",6.515728659918523,0.8892230739896766
2025-04-09T21:40:06.976912,DGBUSDT,10000.0,846.5899067945601,Binance,OKX,digibyte,"{'maker_fee_asset': 84.32170386400001, 'taker_fee_usdt': 0.8491882440483526, 'withdrawal_fee_asset': 0.004}","{'bought_qty': 84321.70386400001, 'after_fees': 84237.38216013601, 'after_withdrawal': 84237.37816013601}","{'current': 0.01004, 'average': 0.01004, 'end': 0.01004}","{'current': 0.010091, 'average': 0.010080895946619303, 'end': 0.010078}",1.7491490097440874,0.20661113435274503
2025-04-09T21:40:06.978990,SUSDT,10000.0,8602.8918877,OKX,Binance,sonic,"{'maker_fee_asset': 18.303661, 'taker_fee_usdt': 8.719315468835198, 'withdrawal_fee_asset': 0.003}","{'bought_qty': 18303.661, 'after_fees': 18285.357339, 'after_withdrawal': 18285.354338999998}","{'current': 0.4698, 'average': 0.47000935428710133, 'end': 0.4702}","{'current': 0.477, 'average': 0.47684695123671567, 'end': 0.4768}",107.70426566636343,1.2519541925239557
2025-04-09T21:40:06.979161,BTCTRY,10000.0,10000.0,OKX,Binance,lightning,"{'maker_fee_asset': 3.2273427197589314e-06, 'taker_fee_usdt': 10.03845085786529, 'withdrawal_fee_asset': 1e-06}","{'bought_qty': 0.0032273427197589315, 'after_fees': 0.0032241153770391725, 'after_withdrawal': 0.0032231153770391724}","{'current': 3098443.0, 'average': 3098524.3490802725, 'end': 3098700.0}","{'current': 3114518.0, 'average': 3114518.0, 'end': 3114518.0}",28.412407007424918,0.28412407007424917
2025-04-09T21:40:06.981669,ETHEUR,10000.0,984.0976594200001,OKX,Binance,optimism,"{'maker_fee_asset': 0.0006540000000000001, 'taker_fee_usdt': 0.9876979707999999, 'withdrawal_fee_asset': 4e-05}","{'bought_qty': 0.654, 'after_fees': 0.653346, 'after_withdrawal': 0.6533059999999999}","{'current': 1504.61, 'average': 1504.736482293578, 'end': 1504.75}","{'current': 1512.18, 'average': 1511.8458590614505, 'end': 1511.8}",2.612613409199753,0.2654831442988651
